year,id_,indus10,polviews,racdif1,racdif2,racdif3,racdif4,workwhts,workblks,workhsps,intlwhts,intlblks,intlhsps,marblk,marhisp,marwht,letin1a
2021,764,"Drinking places, alcoholic beverages",Extremely liberal,YES,NO,YES,NO,4,4,4,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,765,Libraries and archives,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,766,.n:  No answer,Slightly liberal,YES,NO,YES,NO,4,4,4,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2021,767,Offices of physicians,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,768,"Residential care facilities, without nursing",Slightly liberal,YES,NO,YES,NO,4,4,2,3,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,769,"Civic, social, advocacy organizations, and grantmaking and giving services",Liberal,YES,NO,YES,NO,3,3,3,5,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,770,"Museums, art galleries, historical sites, and similar institutions","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,772,"Justice, public order, and safety activities",Extremely conservative,NO,NO,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,773,Other motor vehicle dealers,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,774,Miscellaneous fabricated metal products manufacturing,Conservative,YES,NO,YES,NO,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,4,4,4,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.d:  Do not Know/Cannot Choose
2021,775, Restaurants and other food services,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,776,Construction,"Moderate, middle of the road",NO,NO,YES,NO,5,5,3,6,6,6,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2021,777,Postal Service,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,778,Services to buildings and dwellings,"Moderate, middle of the road",NO,NO,NO,YES,3,3,3,6,6,5,.s:  Skipped on Web,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.s:  Skipped on Web
2021,779,Computer systems design and related services,"Moderate, middle of the road",NO,NO,YES,NO,4,4,3,UNINTELLIGENT,3,3,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,780, Restaurants and other food services,"Moderate, middle of the road",YES,NO,NO,NO,3,3,3,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a little
2021,781,Individual and family services,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,782,Services to buildings and dwellings,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,783,Other personal services,"Moderate, middle of the road",YES,NO,YES,NO,3,3,HARDWORKING,INTELLIGENT,INTELLIGENT,INTELLIGENT,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,784,Individual and family services,"Moderate, middle of the road",NO,NO,YES,YES,4,4,4,5,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,785,Other health care services,Liberal,YES,NO,YES,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,786,Individual and family services,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,787,"Active duty military personnel, all other","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,788,"Architectural, engineering, and related services",Liberal,YES,NO,YES,NO,4,4,2,3,4,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a lot
2021,790,Automotive equipment rental and leasing,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,791,Outpatient care centers,Conservative,NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2021,792,Electronic shopping,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,793,National security and international affairs,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,795,Beauty salons,Slightly conservative,YES,NO,YES,NO,4,4,5,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2021,796,Hospitals,Slightly conservative,NO,NO,YES,NO,5,5,2,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,797,Hospitals,Conservative,NO,NO,NO,NO,2,3,3,6,6,6,FAVOR,FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,798,"Accounting, tax preparation, bookkeeping, and payroll services",Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,799,Banking and related activities,"Moderate, middle of the road",YES,NO,NO,YES,2,3,HARDWORKING,5,5,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2021,800,Executive offices and legislative bodies,Extremely conservative,YES,.s:  Skipped on Web,YES,.s:  Skipped on Web,4,3,3,INTELLIGENT,4,4,STRONGLY OPPOSE,STRONGLY OPPOSE,STRONGLY OPPOSE,Remain the same as it is
2021,801,"Accounting, tax preparation, bookkeeping, and payroll services",Extremely conservative,NO,NO,NO,NO,HARDWORKING,HARDWORKING,HARDWORKING,INTELLIGENT,INTELLIGENT,INTELLIGENT,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2021,802,Support activities for mining,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,803, Restaurants and other food services,"Moderate, middle of the road",YES,NO,YES,YES,4,4,HARDWORKING,5,5,5,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2021,804,Offices of dentists,"Moderate, middle of the road",YES,NO,YES,NO,4,4,3,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2021,805,"Accounting, tax preparation, bookkeeping, and payroll services","Moderate, middle of the road",YES,NO,YES,NO,4,4,4,4,3,3,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a little
2021,806,.i:  Inapplicable,Conservative,NO,NO,NO,YES,4,4,4,4,4,4,STRONGLY OPPOSE,OPPOSE,STRONGLY FAVOR,Reduced a lot
2021,807,Nursing care facilities,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,808,Traveler accommodation,Extremely conservative,NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,Reduced a little
2021,809,Medical equipment and supplies manufacturing,Conservative,NO,NO,NO,NO,4,4,4,4,4,4,OPPOSE,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,Remain the same as it is
2021,810,Pharmaceutical and medicine manufacturing,Extremely conservative,NO,NO,YES,YES,3,3,2,5,3,3,OPPOSE,OPPOSE,STRONGLY FAVOR,Reduced a lot
2021,811,Pharmacies and drug stores,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,812,Grocery stores,"Moderate, middle of the road",NO,NO,NO,YES,3,4,3,5,5,4,STRONGLY FAVOR,FAVOR,STRONGLY FAVOR,Reduced a little
2021,813,Elementary and secondary schools,Conservative,NO,NO,YES,NO,4,4,3,5,4,4,OPPOSE,FAVOR,FAVOR,Remain the same as it is
2021,814,Department stores and discount stores,Slightly liberal,YES,NO,YES,NO,3,3,3,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,815,"Active duty military personnel, all other","Moderate, middle of the road",NO,NO,YES,YES,3,5,4,2,4,6,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a little
2021,816,Individual and family services,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,817,"Active duty military personnel, all other","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,818,"Active duty military personnel, all other",Slightly conservative,NO,NO,YES,YES,2,4,3,6,4,3,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,819,National security and international affairs,"Moderate, middle of the road",NO,NO,YES,NO,3,3,3,5,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,820,Department stores and discount stores,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,821,National security and international affairs,Slightly liberal,YES,NO,YES,NO,HARDWORKING,HARDWORKING,HARDWORKING,INTELLIGENT,INTELLIGENT,INTELLIGENT,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Increased a little
2021,823,Elementary and secondary schools,"Moderate, middle of the road",NO,NO,NO,YES,4,4,4,5,3,3,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2021,824,Miscellaneous retail stores,"Moderate, middle of the road",YES,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,825,.s:  Skipped on Web,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,826,.i:  Inapplicable,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,827,"Other amusement, gambling, and recreation industries",Extremely conservative,NO,NO,YES,NO,HARDWORKING,3,LAZY,INTELLIGENT,4,5,STRONGLY OPPOSE,STRONGLY OPPOSE,STRONGLY FAVOR,Reduced a lot
2021,828,Administration of human resource programs,Liberal,YES,NO,YES,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,829,Offices of physicians,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,830,Metal ore mining,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,831,Hospitals,Conservative,YES,NO,YES,YES,4,5,3,5,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,832,Metal ore mining,Liberal,YES,NO,YES,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,833,Grocery stores,Slightly liberal,NO,NO,NO,YES,4,4,.d:  Do not Know/Cannot Choose,5,5,.d:  Do not Know/Cannot Choose,STRONGLY OPPOSE,STRONGLY OPPOSE,STRONGLY FAVOR,Reduced a little
2021,834,"Active duty military personnel, all other","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,835,Motor vehicles and motor vehicle equipment manufacturing,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,836,Animal slaughtering and processing,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,837,"Seafood and other miscellaneous foods, n.e.c.","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,838,"Bakeries, except retail",Liberal,NO,YES,YES,NO,LAZY,3,5,UNINTELLIGENT,5,4,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,839,Elementary and secondary schools,Extremely conservative,NO,NO,NO,NO,4,4,4,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,841,Animal slaughtering and processing,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,842,Animal slaughtering and processing,"Moderate, middle of the road",YES,NO,YES,NO,HARDWORKING,HARDWORKING,HARDWORKING,INTELLIGENT,INTELLIGENT,INTELLIGENT,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,843,Hospitals,Slightly conservative,NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,844,"Auto parts, accessories, and tire stores",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,845,Executive offices and legislative bodies,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,846,Hospitals,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,847,"Accounting, tax preparation, bookkeeping, and payroll services",Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,849, Restaurants and other food services,Conservative,YES,NO,NO,NO,4,4,HARDWORKING,4,.s:  Skipped on Web,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,850,Landscaping services,"Moderate, middle of the road",NO,NO,NO,YES,4,4,4,4,4,4,.s:  Skipped on Web,NEITHER FAVOR NOR OPPOSE,.s:  Skipped on Web,Remain the same as it is
2021,851,Landscaping services,.i:  Inapplicable,YES,NO,NO,NO,LAZY,HARDWORKING,HARDWORKING,3,INTELLIGENT,INTELLIGENT,STRONGLY OPPOSE,NEITHER FAVOR NOR OPPOSE,FAVOR,Remain the same as it is
2021,852,Hospitals,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,853,Elementary and secondary schools,"Moderate, middle of the road",YES,NO,YES,NO,LAZY,HARDWORKING,HARDWORKING,UNINTELLIGENT,INTELLIGENT,INTELLIGENT,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,855,Construction,"Moderate, middle of the road",NO,NO,NO,NO,4,3,3,4,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,856,National security and international affairs,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,857,Services to buildings and dwellings,Conservative,NO,NO,NO,NO,4,4,4,5,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2021,858,Elementary and secondary schools,"Moderate, middle of the road",YES,YES,YES,YES,5,4,3,3,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,859,.n:  No answer,Conservative,NO,NO,NO,NO,4,LAZY,4,5,6,4,.n:  No answer,.n:  No answer,.n:  No answer,Reduced a lot
2021,860,Sawmills and wood preservation,Conservative,NO,NO,NO,YES,5,6,3,4,2,5,NEITHER FAVOR NOR OPPOSE,FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,861,Religious organizations,Conservative,YES,NO,YES,NO,3,3,2,6,5,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,862,Hospitals,Slightly conservative,NO,NO,YES,NO,3,3,4,6,6,6,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,863,Computer and peripheral equipment manufacturing    ,"Moderate, middle of the road",NO,NO,NO,NO,6,4,2,2,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,864,Individual and family services,"Moderate, middle of the road",NO,NO,NO,YES,4,5,HARDWORKING,5,5,3,OPPOSE,OPPOSE,NEITHER FAVOR NOR OPPOSE,Increased a little
2021,865,"Pulp, paper, and paperboard mills",Extremely conservative,NO,NO,YES,NO,4,4,.d:  Do not Know/Cannot Choose,6,6,.d:  Do not Know/Cannot Choose,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2021,866,Construction,"Moderate, middle of the road",NO,NO,YES,YES,3,4,4,3,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Reduced a lot
2021,867,Plastics product manufacturing,Slightly liberal,YES,NO,NO,NO,5,5,3,3,3,3,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,868,Services to buildings and dwellings,Slightly conservative,YES,YES,NO,YES,HARDWORKING,3,2,6,6,6,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Remain the same as it is
2021,869, Restaurants and other food services,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,870,Hospitals,"Moderate, middle of the road",NO,NO,NO,NO,4,2,2,5,6,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,Remain the same as it is
2021,871,Traveler accommodation,Conservative,NO,NO,NO,YES,HARDWORKING,4,4,INTELLIGENT,6,6,FAVOR,FAVOR,STRONGLY FAVOR,Reduced a lot
2021,872,Automotive repair and maintenance,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable
2021,873,Religious organizations,Extremely liberal,YES,NO,YES,NO,3,3,3,5,5,5,FAVOR,FAVOR,FAVOR,Remain the same as it is
2021,874,Not specified retail trade,"Moderate, middle of the road",.s:  Skipped on Web,.s:  Skipped on Web,.s:  Skipped on Web,.s:  Skipped on Web,2,4,4,6,4,4,STRONGLY FAVOR,STRONGLY FAVOR,STRONGLY FAVOR,Reduced a lot
