year,id_,indus10,polviews,racdif1,racdif2,racdif3,racdif4,workwhts,workblks,intlwhts,intlblks,marblk,marwht,letin1a,ballot
2000,2241,"Accounting, tax preparation, bookkeeping, and payroll services","Moderate, middle of the road",NO,NO,NO,YES,2,4,4,4,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2242,Footwear manufacturing,"Moderate, middle of the road",YES,NO,YES,YES,2,5,5,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,2243,Truck transportation,"Moderate, middle of the road",NO,NO,NO,YES,5,3,6,3,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2244,Outpatient care centers,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,3,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2245,"Active duty military personnel, all other",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.n:  No answer,.n:  No answer,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,2246,.i:  Inapplicable,Extremely conservative,YES,YES,YES,YES,4,6,4,2,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2247,Animal production,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2248,Elementary and secondary schools,Conservative,NO,NO,NO,YES,4,5,3,5,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2249,Hardware stores,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2250,Nursing care facilities,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2251,Miscellaneous general merchandise stores,"Moderate, middle of the road",YES,NO,.d:  Do not Know/Cannot Choose,NO,4,4,6,6,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2252,Automotive repair and maintenance,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,4,NEITHER FAVOR NOR OPPOSE,FAVOR,.i:  Inapplicable,Ballot c
2000,2253,Motor vehicles and motor vehicle equipment manufacturing,Liberal,NO,YES,YES,NO,3,4,4,2,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2254,"Communications, and audio and video equipment manufacturing        ","Moderate, middle of the road",NO,YES,NO,YES,5,4,2,2,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2255,Hospitals,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,2,.d:  Do not Know/Cannot Choose,6,.d:  Do not Know/Cannot Choose,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2256,Beauty salons,Liberal,YES,NO,YES,NO,HARDWORKING,4,INTELLIGENT,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2257,.i:  Inapplicable,Conservative,YES,NO,YES,.n:  No answer,4,4,4,4,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2258,Truck transportation,Extremely conservative,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,4,4,INTELLIGENT,INTELLIGENT,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2259,U.S. Navy,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2260,Cut and sew apparel manufacturing,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2261,Private households,Conservative,YES,NO,YES,NO,5,4,2,3,FAVOR,FAVOR,.i:  Inapplicable,Ballot b
2000,2262,Aircraft and parts manufacturing,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,5,.d:  Do not Know/Cannot Choose,INTELLIGENT,UNINTELLIGENT,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2263,Construction,.d:  Do not Know/Cannot Choose,NO,NO,NO,YES,3,6,6,3,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2264,Warehousing and storage,"Moderate, middle of the road",YES,NO,NO,YES,4,4,5,4,OPPOSE,FAVOR,.i:  Inapplicable,Ballot a
2000,2265,Motion pictures and video industries,"Moderate, middle of the road",YES,NO,YES,NO,3,6,6,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2266,Elementary and secondary schools,Extremely conservative,NO,NO,NO,.n:  No answer,3,4,6,6,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2267,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.","Moderate, middle of the road",.d:  Do not Know/Cannot Choose,NO,.n:  No answer,.n:  No answer,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2268,Grocery stores,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2269,Beauty salons,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2270,"Colleges and universities, including junior colleges",Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2271, Restaurants and other food services,"Moderate, middle of the road",YES,NO,YES,NO,2,2,INTELLIGENT,INTELLIGENT,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2272,Veterinary services,Slightly liberal,YES,NO,YES,NO,4,4,5,4,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2273,"Colleges and universities, including junior colleges",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,3,3,4,4,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2274,Elementary and secondary schools,"Moderate, middle of the road",NO,NO,NO,NO,3,3,5,5,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2275,Elementary and secondary schools,.d:  Do not Know/Cannot Choose,YES,NO,YES,NO,3,5,5,3,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2276,"Colleges and universities, including junior colleges",Slightly liberal,NO,YES,NO,NO,4,5,4,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2277,"Other amusement, gambling, and recreation industries",Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,3,6,6,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2278, Restaurants and other food services,Extremely liberal,YES,NO,NO,NO,5,4,4,4,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2279,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,YES,NO,YES,NO,2,2,6,6,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2280,Insurance carriers and related activities,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,2,3,5,4,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2281, Restaurants and other food services,Slightly conservative,.d:  Do not Know/Cannot Choose,NO,YES,NO,4,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2282,Elementary and secondary schools,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2283,Retail florists,Liberal,NO,NO,NO,YES,6,5,5,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,2284,"Rubber product, except tire, manufacturing","Moderate, middle of the road",NO,NO,NO,YES,4,4,5,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2285,"Drinking places, alcoholic beverages","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,3,4,5,4,NEITHER FAVOR NOR OPPOSE,FAVOR,.i:  Inapplicable,Ballot c
2000,2286,Book stores and news dealers,Conservative,NO,NO,NO,YES,2,5,6,5,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2287,Veterinary services,Slightly conservative,NO,NO,NO,YES,4,4,5,5,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2288, Restaurants and other food services,Slightly liberal,YES,.d:  Do not Know/Cannot Choose,YES,.d:  Do not Know/Cannot Choose,4,4,5,3,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2289,"Drinking places, alcoholic beverages",Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,3,6,6,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2290,Department stores and discount stores,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2291,"Health and personal care, except drug, stores",Conservative,NO,NO,YES,YES,3,5,5,4,NEITHER FAVOR NOR OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2292,Elementary and secondary schools,Liberal,YES,NO,YES,NO,3,4,4,4,FAVOR,FAVOR,.i:  Inapplicable,Ballot b
2000,2293,"Electric power generation, transmission, and distribution","Moderate, middle of the road",NO,NO,NO,NO,3,3,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,2294,"Colleges and universities, including junior colleges",Slightly conservative,NO,NO,YES,NO,5,5,5,5,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2295,Construction,Conservative,.d:  Do not Know/Cannot Choose,NO,NO,YES,3,5,4,4,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2296,Cut and sew apparel manufacturing,"Moderate, middle of the road",NO,NO,NO,NO,HARDWORKING,HARDWORKING,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2297,Animal slaughtering and processing,Slightly conservative,NO,NO,NO,NO,4,4,5,4,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2298,Animal production,Conservative,NO,NO,NO,YES,4,5,6,4,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2299,Cut and sew apparel manufacturing,"Moderate, middle of the road",YES,.d:  Do not Know/Cannot Choose,NO,YES,4,LAZY,4,4,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2300,Cut and sew apparel manufacturing,.d:  Do not Know/Cannot Choose,NO,NO,NO,NO,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2301,Animal production,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2302,Cut and sew apparel manufacturing,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2303,"Textile product mills, except carpet and rug",Slightly conservative,YES,YES,YES,YES,3,5,5,3,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2304,Construction,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,6,6,INTELLIGENT,INTELLIGENT,NEITHER FAVOR NOR OPPOSE,FAVOR,.i:  Inapplicable,Ballot c
2000,2305,Private households,Conservative,NO,NO,NO,YES,4,4,6,6,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2306,Animal production,Conservative,NO,NO,NO,YES,3,5,5,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2307,Gasoline stations,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2308,"Machinery manufacturing, n.e.c.    ","Moderate, middle of the road",NO,NO,NO,YES,4,5,4,5,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2309,Animal slaughtering and processing,Liberal,YES,NO,NO,NO,4,4,4,4,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2310,Construction,Extremely liberal,NO,NO,NO,YES,4,4,5,4,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2311,Grocery stores,Liberal,NO,YES,NO,YES,2,4,6,5,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2312,Nonmetallic mineral mining and quarrying,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2313,Nursing care facilities,"Moderate, middle of the road",YES,NO,NO,NO,4,4,6,6,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2314,Cut and sew apparel manufacturing,Slightly conservative,NO,NO,YES,NO,4,4,4,3,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2315,Cut and sew apparel manufacturing,"Moderate, middle of the road",NO,NO,YES,.d:  Do not Know/Cannot Choose,2,3,5,5,STRONGLY OPPOSE,FAVOR,.i:  Inapplicable,Ballot b
2000,2316,Cut and sew apparel manufacturing,Slightly conservative,NO,YES,NO,YES,2,4,INTELLIGENT,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2317,"Machinery manufacturing, n.e.c.    ",Slightly liberal,NO,.d:  Do not Know/Cannot Choose,NO,YES,3,5,5,3,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2318,Structural clay product manufacturing,.n:  No answer,YES,YES,YES,NO,2,.d:  Do not Know/Cannot Choose,INTELLIGENT,INTELLIGENT,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2319,Postal Service,Liberal,YES,NO,YES,NO,5,5,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2320,"Gift, novelty, and souvenir shops",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,2,4,5,4,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2321,"Water, steam, air-conditioning, and irrigation systems","Moderate, middle of the road",NO,NO,NO,YES,3,5,5,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2322,Retail florists,"Moderate, middle of the road",NO,NO,YES,NO,3,3,4,4,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2323,Nursing care facilities,Slightly conservative,NO,NO,YES,.d:  Do not Know/Cannot Choose,4,5,5,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2324,Elementary and secondary schools,Conservative,NO,NO,NO,YES,3,5,5,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2325,Postal Service,Slightly conservative,NO,NO,NO,YES,3,6,4,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2326,Real estate,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2327,"Independent artists, performing arts, spectator sports, and related industries",Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,5,6,INTELLIGENT,INTELLIGENT,STRONGLY FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2328,Grocery stores,Extremely conservative,NO,YES,NO,YES,3,6,5,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2329, Restaurants and other food services,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2330, Restaurants and other food services,"Moderate, middle of the road",NO,NO,NO,NO,2,4,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2331,Specialty food stores,Slightly conservative,NO,NO,YES,NO,3,5,4,4,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2332,Crop production,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,5,4,STRONGLY FAVOR,FAVOR,.i:  Inapplicable,Ballot c
2000,2333,Nursing care facilities,Liberal,NO,NO,NO,NO,3,5,5,3,FAVOR,STRONGLY FAVOR,.i:  Inapplicable,Ballot b
2000,2334,.i:  Inapplicable,Conservative,NO,NO,YES,NO,4,4,5,2,FAVOR,FAVOR,.i:  Inapplicable,Ballot a
2000,2335,Private households,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,YES,NO,3,4,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2336,Not specified retail trade,Slightly liberal,NO,NO,YES,YES,3,4,3,4,STRONGLY FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2337,Grocery stores,"Moderate, middle of the road",NO,NO,NO,NO,4,4,4,4,STRONGLY FAVOR,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot a
2000,2338,Offices of physicians,.d:  Do not Know/Cannot Choose,NO,NO,NO,YES,2,5,4,4,OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2339,Support activities for mining,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2340,Agricultural implement manufacturing,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,3,.d:  Do not Know/Cannot Choose,5,.d:  Do not Know/Cannot Choose,OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot c
2000,2341,Crop production,Slightly conservative,.d:  Do not Know/Cannot Choose,NO,YES,NO,4,4,4,4,STRONGLY FAVOR,STRONGLY OPPOSE,.i:  Inapplicable,Ballot a
2000,2342,Outpatient care centers,Liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,LAZY,HARDWORKING,3,3,FAVOR,FAVOR,.i:  Inapplicable,Ballot c
2000,2343,Sewage treatment facilities,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,NO,NO,NO,3,5,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,2344,Elementary and secondary schools,Conservative,NO,NO,NO,YES,3,5,5,3,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2345,Construction,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2346,Motor vehicles and motor vehicle equipment manufacturing,"Moderate, middle of the road",NO,NO,NO,NO,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2347,Construction,"Moderate, middle of the road",NO,NO,YES,YES,5,5,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,2348,Hospitals,Slightly liberal,YES,NO,YES,YES,2,4,INTELLIGENT,4,STRONGLY OPPOSE,STRONGLY FAVOR,.i:  Inapplicable,Ballot a
2000,2349,Animal slaughtering and processing,"Moderate, middle of the road",NO,NO,NO,YES,3,5,INTELLIGENT,6,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2350,"Pulp, paper, and paperboard mills","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2351,Aerospace product and parts manufacturing,Liberal,NO,NO,YES,YES,3,3,6,4,NEITHER FAVOR NOR OPPOSE,.n:  No answer,.i:  Inapplicable,Ballot a
2000,2352,Furniture and related product manufacturing,Conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2353,Construction,Extremely conservative,NO,NO,YES,YES,6,6,3,2,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2354,.i:  Inapplicable,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,4,4,4,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot c
2000,2355,Paperboard containers and boxes,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,4,5,4,3,NEITHER FAVOR NOR OPPOSE,STRONGLY OPPOSE,.i:  Inapplicable,Ballot c
2000,2356,Construction,"Moderate, middle of the road",NO,NO,YES,NO,4,4,5,5,NEITHER FAVOR NOR OPPOSE,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,Ballot b
2000,2357,Miscellaneous retail stores,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2358,Department stores and discount stores,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2359,Services to buildings and dwellings,Slightly conservative,YES,NO,YES,YES,4,4,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2360,Not specified manufacturing industries,"Moderate, middle of the road",YES,NO,YES,NO,3,3,5,5,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2361,Nursing care facilities,Slightly conservative,NO,YES,NO,YES,HARDWORKING,6,3,6,STRONGLY OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2362,Truck transportation,"Moderate, middle of the road",NO,NO,NO,NO,.n:  No answer,.n:  No answer,.n:  No answer,.n:  No answer,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot a
2000,2363,Computer and peripheral equipment manufacturing    ,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Ballot c
2000,2364,Department stores and discount stores,"Moderate, middle of the road",YES,NO,YES,YES,4,4,5,4,NEITHER FAVOR NOR OPPOSE,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2000,2365, Restaurants and other food services,Extremely liberal,NO,NO,NO,YES,4,6,4,4,FAVOR,.i:  Inapplicable,.i:  Inapplicable,Ballot b
